idCiudad;Nombre;País
1;Ciudad del Sol;España
2;Lunares del Norte;Argentina
3;Valle Azul;Chile
4;Montaña Dorada;México
5;Río Escondido;Colombia
6;Puente Celeste;Perú
7;Isla Blanca;Costa Rica
8;Bosque Verde;Ecuador
9;Mar de la Serenidad;Uruguay
10;Puerto Claro;Venezuela
11;Jardín Secreto;Guatemala
12;Valle de la Paz;Bolivia
13;Cumbres Eternas;Paraguay
14;Puerta del Viento;Honduras
15;Villa de los Lagos;Nicaragua
16;Ciudad del Alba;El Salvador
17;El Refugio Azul;República Dominicana
18;Montaña Silenciosa;Panamá
19;Oasis de la Luna;Cuba
20;Estrella del Sur;Puerto Rico
